tag_alias,number,max_rssi,arm_x,arm_y,arm_z,elapsed_time
pose-center,1,-57.0,1.1369950814192913,-0.07761529050456512,0.33391646231563143,25.163665771484375
pose-center,2,-58.29999923706055,1.1605408238419948,0.025429556137692808,0.3248242567535957,24.11243438720703
pose-center,3,-58.29999923706055,1.1572798566519253,0.012704757482524255,0.3245653502819269,26.95387840270996
pose-center,4,-57.599998474121094,1.1578846919674517,0.014397251703947664,0.3236795342486263,23.24231719970703
pose-center,5,-57.0,1.144484977692393,-0.042947883073351845,0.3260297936603561,24.932491302490234
120mm,1,-38.29999923706055,1.1297642832283288,-0.10681360810292542,0.3354569099435568,25.574796676635742
120mm,2,-40.29999923706055,1.1363459748922076,-0.08008664141806796,0.33435558010837213,25.444181442260742
120mm,3,-40.29999923706055,1.079922955275135,-0.08410026019881446,0.3337062731584004,32.07412338256836
120mm,4,-39.599998474121094,1.0790357097596168,-0.07998467432399554,0.3324174625791416,28.25275230407715
120mm,5,-40.29999923706055,1.0616883621966486,-0.010775639530194265,0.3317538094365693,29.943077087402344
pose-left,1,-72.9000015258789,0.9114188840137173,-0.1642715716117991,0.338186364439232,39.99388122558594
pose-left,2,-77.0999984741211,0.9253390711846973,-0.17662293213643757,0.33720479292451977,38.653316497802734
pose-left,3,,,,,
pose-left,4,,,,,
pose-left,5,,,,,
